score	sentiment	split	text
5	pos	train	Food EXCELLENT, Every Chance we get we eat there. Get there early, Always crowded
5	pos	train	My landlord's family actually owns this restaurant. Their food comes so close to my grandmother's cooking---and the meatballs are heavenly!! I also loved their homemade salad dressing-italian of course--just like from when I was little at gramma's house!! This is a definate comfort food place for everyone!
5	pos	train	EVERYTHING WAS GREAT!!
5	pos	train	Buckey's is a great little place with really good food, they have awesome Pizza and they have daily specials. The service is Great! and they have a pheonomal Onion Brick for an appetiser I highly recommend this if your in the area
5	pos	train	The chefs are very nice and the service is great! Their prices are very reasonable and even the other diners were very nice and polite.
5	pos	train	My family and I had a wonderful evening. Our dining experience was made quite easy with the experienced and knowledgable staff. The wait for the food was short and the taste delectable. I will surely be returning for many more dinners.
5	pos	train	Wonderfully aged beef and fish that is flown in daily. The service and atmosphere superb, low lighting with burning fireplaces and a very cozy lounge as well. Highly recommended!
5	pos	train	Very good selection of Mexican foods. We had enchiladas mole, chimichangas, chilis rellenos, and flan for dessert. Plenty of food, prices were reasonable. We'll definitely go back.
5	pos	train	Fine dining establishment right on the beach perfect to catch a Hawaiian sunset. Not a bad seat in the house. Excellent fresh seafood and well prepared steaks. A little pricy but well worth a special occasion like a trip to Kauai, Hawaii.
5	pos	train	Crickets is always a pleasure. We have been there several times. The service is always exceptional and the food is consistently good. They have an extensive beer list and wine list. The bar area can be a little noisy, but the food and the service more than make up for it. We last dined there on a Saturday night and only waited for 25 minutes. Prices are reasonable for the quality, although specials can be a bit pricey.
5	pos	train	"Rodizio Grill is probably the best place I have ever eaten. It is styled after a Brazilian ""barbecue."" If you love meat and can eat a lot, this is the place. There are all kinds of meats and salads, and it is all you can eat. The waiters walk around with the meat on spear-type things and they cut you off the slice you want. The food is incredible and the service is great. Plan on going about an hour and a half before you want to eat, though, as they don't take reservations and dinner time is always full (at least on the weekends). There is plenty to do in the shopping area as you wait, though. It is well worth it! There is also a Rodizio Grill and another similar restaurant called Tucano's in Orem, UT, if you are in that area."
5	pos	train	Chardonnay presents fine cuisine in a warmly lit atmosphere. Greeted and seated quickly after the valet parked the car, the server reminded us to order a souffle for dessert when we ordered our meal. The melange of vegetables that came with our meals was excellent. Two of us had Dover sole, which melted in our mouths! Others had the rack of lamb, which was wonderful. The chocolate souffles for dessert hit the spot.
5	pos	train	I have been going to malek's for 8 years, they know my entire family. A wastress who came back to work there, said I remember you you have been coming here for a long time, its nice to see you. I love their food, we go there every weekend no if's and's or but's, its so good right now i'm going to be ordering a salad, the grilled chicken salad is to so good. My father has been getting the grilled chicken sub for years now and loves every bite. Everyone there is really nice, you should try there food if you live around springfield or near it :)
5	pos	train	Excellent food with a fairly impressive menu. The service is also very good. Atmosphere is typical.
5	pos	train	Delightful downtown dining, that is what Basserie Las Olas is all about. This casual restaurant sits in the canyons of downtown Ft. Lauderdale, and day or night the passing parade on the Boulevard can be observed from the streetside tables. The menu is a creative mix of familiar foods and original creations by chef Jerry Leskody often combing flavors which aren't normally seen together like the crab, spinach, and artichoke dip appetizer ($8.50), or the escargot ravioli ($8). One of the more popular appetizers is the Tuscan Peppercorn Crusted Tuna Carpaccio with bermuda onion, basil, capers, chives, Reggiano Parmesan and balsamic glace ($9.50). Salads are hearty and flavorful and include a Caesar which you can get with grilled chicken breast, grilled fresh salmon, grilled shrimp, or grilled steak, which make them salad meals, a classic Cobb salad ($9.50), or a Grilled Salmon Nicoise ($13). There is also a tasty house salad ($5). Soups include the always favorite Onion Soup ($6) and a Winter Vegetable Minestrone with mushroom tortelli ($5) Although the list of entrees is extensive and offers all sorts of chicken, fish, and meat, my own particular favorite is the Filet Mignon ($25). This hunk of aged beef is grilled to perfection and served with steamed broccoli and fried potatoes. though I recommend asking for a substitution of the garlic mashed potatoes which go well with the rich brown sauce served with the steak. My wife's personal favorite is the Jambalaya served with a rich blend of seafood and shellfish. Other great menu items include the Crispy Half Duck served with confit and sauce cassis, wild rice pilaf and fresh steamed veggies ($18) and the Lobster Pot Pie made with chunks of lobster and mushrooms in a rich sherry cream sauce. Topped with a Mashed Potato Crust ($16). Also the Angel Hair Pasta with Jumbo Gulf Shrimp with a touch of white wine ($17) is delicious. Service is excellent and attentive and the servers are well versed on the daily specials as well as the regular menu items. The decor is modern, dress is casual. There is valet parking ($5) which is recommended.
