answer	qid
Louisiana adversely affected Hurricane Gustav	blogs-03-1
storm rolled Monday , September 1 ,	blogs-03-2
Winds started kicking	blogs-03-3
the 	blogs-03-4
in Louisiana	blogs-03-5
in order	blogs-03-6
large group pine trees group oak trees	blogs-03-7
The narrator began to be nervous because it owned a group of trees and near the house of the narrator.	blogs-03-8
A narrator watched a channel named Weather Channel and watched some local news media.	blogs-03-9
the 	blogs-03-10
the 	blogs-03-11
tree split apart	blogs-03-12
the 	blogs-03-13
narrator began concerned -- later , later house narrator -- house narrator would begun damaged , family narrator would begin wounded	blogs-03-14
the 	blogs-03-15
on a branch	fables-01-1
Crow sitting branch tree piece cheese Fox observed set wits work discover way getting cheese	fables-01-2
the Crow the Fox	fables-01-3
observed crow tried discover get	fables-01-4
The fox looked toward the crow and said that he saw a noble bird who was above him.	fables-01-5
There once was a crow .	fables-01-6
the Crow the Fox	fables-01-7
There once was a crow.	fables-01-8
in the beak	fables-01-9
the Crow the Fox	fables-01-10
the Crow the Fox	fables-01-11
observed crow tried discover get cheese	fables-01-12
The crow felt that the fox had flattered her and cawed loudly in order for she to show him that she was able to sing.	fables-01-13
the Lion the Bull	fables-02-1
the Lion the Bull	fables-02-2
There once was a fat bull.	fables-02-3
the Lion the Bull	fables-02-4
the Lion the Bull	fables-02-5
n't attack bull feared sharp every horn bull	fables-02-6
a Lion and a Bull	fables-02-7
the Lion the Bull	fables-02-8
watched bull salivated wanted eat bull	fables-02-9
The bull was grazing in a meadow.	fables-02-10
n't attack bull feared sharp every horn bull	fables-02-11
Lion watched fat Bull feeding meadow , mouth watered thought royal feast would make , dare attack , afraid sharp horns	fables-02-12
the Lion the Bull	fables-02-13
A lion watched the bull and salivated because the lion wanted to eat the bull.	fables-02-14
grazing meadow	fables-02-15
The bull was grazing in a meadow.	fables-02-16
n't attack bull feared sharp every horn bull	fables-02-17
the Lion the Bull	fables-02-18
A summit meeting named G20 summit started on eventful today.	blogs-01-1
named G20 started eventful today	blogs-01-2
along the street at first it	blogs-01-3
burned police car threw thing police	blogs-01-4
the Police	blogs-01-5
the Police	blogs-01-6
people burned threw thing	blogs-01-7
the Police	blogs-01-8
Police cars burned things thrown cops	blogs-01-9
happened right front store kind scary kind interesting since 've never seen riot	blogs-01-10
things got worse tear gas bean bag bullets fired rioters smash windows stores	blogs-01-11
things got worse tear gas bean bag bullets fired rioters smash windows stores	blogs-01-12
things got worse tear gas bean bag bullets fired rioters windows stores	blogs-01-13
the Police	blogs-01-14
the Police	blogs-01-15
A people protested because it disagreed about a view.	blogs-01-16
rebelled created riot	blogs-01-17
There was a protest that happened along the street where I work and at first it looked peaceful until a bunch of people started rebelling and creating a riot.	blogs-01-18
the Stork the Fox	fables-04-1
Fox invited Stork dinner , provided large flat dish soup	fables-04-2
The fox only served some soup in a flat and large dish.	fables-04-3
a Stork and a Fox	fables-04-4
Fox invited Stork dinner , fare provided large flat dish	fables-04-5
The fox believed that distress was amusing.	fables-04-6
easily fitted narrow neck pitcher	fables-04-7
Thus, while she enjoyed her dinner, the Fox sat by hungry and helpless, for it was impossible for him to reach the tempting contents of the vessel.	fables-04-8
Fox lapped great relish , Stork long bill tried vain partake broth	fables-04-9
the Stork the Fox	fables-04-10
stork easily fitted long bill stork long narrow	fables-04-11
fox invited stork dine	fables-04-12
fox served flat large dish	fables-04-13
the 	blogs-02-1
A few years ago, a young man died out on my front lawn when he crashed his motorbike.	blogs-02-2
the 	blogs-02-3
A young man long ago crashed the motorbike of the young man on the front yard of a narrator and broke the neck of the young man.	blogs-02-4
The narrator stayed with the young man and didn't aid him because the young man had broken the neck of the young man.	blogs-02-5
last moments nothing could badly injured broken neck	blogs-02-6
the 	blogs-02-7
the 	blogs-02-8
the 	blogs-02-9
a 	blogs-02-10
stayed young man n't aid young man broken neck young man	blogs-02-11
stayed young man n't aid young man broken neck young man	blogs-02-12
A few years ago, a young man died out on my front lawn when he crashed his motorbike.	blogs-02-13
on the front yard	blogs-02-14
the 	blogs-02-15
the 	blogs-02-16
the 	blogs-04-1
the 	blogs-04-2
birds organized 's order birds wait	blogs-04-3
birds bathed bowl	blogs-04-4
the 	blogs-04-5
the 	blogs-04-6
one times digital camera	blogs-04-7
the 	blogs-04-8
on the railing	blogs-04-9
on the deck in order	blogs-04-10
The squirrel approached the bowl .	blogs-04-11
 The narrator placed the bowl on the deck in order for Benjamin to drink the bowl's water.	blogs-04-12
The birds organized themselves on the deck's railing in order for the birds to wait.	blogs-04-13
large stainless steel bowl water outside Benjamin drink 's playing outside	blogs-04-14
a Serpent and a Eagle	fables-03-1
the Serpent the Eagle	fables-03-2
Eagle swooped upon Serpent seized talons intention carrying devouring	fables-03-3
the Serpent the Eagle	fables-03-4
Eagle swooped upon Serpent seized talons intention carrying devouring	fables-03-5
In revenge the Serpent spat some of his poison into the man 's drinking-horn .	fables-03-6
decided sip drinking vessel	fables-03-7
the Serpent the Eagle	fables-03-8
spilled drinking vessel	fables-03-9
Heated with his exertions, the man was about to slake his thirst with a draught from the horn, when the Eagle knocked it out of his hand, and spilled its contents upon the ground.	fables-03-10
